,English,Urdu
7781,"<start> Avg food quality ,cost not matching with quality at all  <end>",<start> کھانے کا اوسط معیار، قیمت بالکل بھی معیار سے مماثل نہیں ہے۔ <end>
7782,<start> (Translated by Google) Zabardast <end>,<start> (گوگل کا ترجمہ) Zabardast <end>
7783,<start> The food was very delicious with perfect presentation <end>,<start> بہترین پریزنٹیشن کے ساتھ کھانا بہت لذیذ تھا۔ <end>
7784,<start> Amazing and so delicious food so far <end>,<start> اب تک کا حیرت انگیز اور اتنا لذیذ کھانا <end>
7785,<start> Amazing food definitely a stunner <end>,<start> حیرت انگیز کھانا یقینی طور پر ایک حیرت انگیز ہے۔ <end>
7786,<start> Love this hole in the wall place <end>,<start> دیوار کی جگہ میں اس سوراخ کو پسند کریں۔ <end>
7787,"<start> Good place for dining, food id good, location also very handy <end>",<start> کھانے کے لیے اچھی جگہ، کھانے کی شناخت اچھی، مقام بھی بہت آسان <end>
7788,<start> (Translated by Google) BLC is not good <end>,<start> (گوگل کے ذریعہ ترجمہ شدہ) BLC اچھا نہیں ہے۔ <end>
7789,"<start> Nice sitting place, polite and hard working staff <end>",<start> اچھی بیٹھنے کی جگہ، شائستہ اور محنتی عملہ <end>
7790,"<start> Pathetic service and staff, taste was so average <end>",<start> قابل رحم سروس اور عملہ، ذائقہ اتنا اوسط تھا <end>
7791,<start> Their pizzas were quite substandard for the price <end>,<start> ان کے پیزا قیمت کے لحاظ سے کافی غیر معیاری تھے۔ <end>
7792,"<start> Cold and tasteless burgers, tasteless (پھیکا) BLC and costly <end>",<start> ٹھنڈا اور بے ذائقہ برگر، بے ذائقہ (پھیکا) BLC اور مہنگا <end>
7793,<start> So I order BLC there super chart item and there popular Panini <end>,<start> لہذا میں وہاں BLC کو سپر چارٹ آئٹم آرڈر کرتا ہوں اور وہاں مشہور پانینی <end>
7794,<start> It's very good experience but due to cat's disturbed feeling bad outside <end>,<start> یہ بہت اچھا تجربہ ہے لیکن بلی کے پریشان ہونے کی وجہ سے باہر برا محسوس ہو رہا ہے۔ <end>
7795,<start> Good expensive food with low service <end>,<start> کم سروس کے ساتھ اچھا مہنگا کھانا <end>
7796,<start> Fine dine with good quality food a little bit low in quantity as compare to price but overall good experience must visit again inshallah <end>,<start> اچھی کوالٹی کے کھانے کے ساتھ عمدہ کھانا قیمت کے مقابلے مقدار میں تھوڑا سا کم ہے لیکن مجموعی طور پر اچھا تجربہ دوبارہ ضرور دیکھیں انشاء اللہ <end>
7797,<start> Loved the concept for car dine in nice customer service <end>,<start> اچھی کسٹمر سروس میں کار ڈائن کا تصور پسند آیا <end>
7798,<start> I love this place straight 3 days dinner in a row you can imagine the food quality <end>,<start> مجھے یہ جگہ پسند ہے لگاتار 3 دن کے کھانے سے آپ کھانے کے معیار کا اندازہ لگا سکتے ہیں۔ <end>
7799,<start> Road kitchen has number of dishes <end>,<start> روڈ کچن میں ڈشز کی تعداد ہوتی ہے۔ <end>
7800,<start> Bakwas food more bakwas attitude of waiter <end>,<start> بکواس کھانا زیادہ بکواس ویٹر کا رویہ <end>
7801,<start> Very innovative and fun! Budget friendly and the food is delicious too <end>,<start> بہت جدید اور تفریح! بجٹ دوستانہ اور کھانا بھی لذیذ ہے۔ <end>
7802,<start> Roadhouse have to be the best eatery in the vincity of north nazimabad they serve a wide variety of extensive menu ranging from sandwiches to panini to steaks and juices follow their social media pages to see what else they have to offer! And yes that iftar platter was on the house <end>,<start> روڈ ہاؤس کو نارتھ ناظم آباد کے نواح میں بہترین کھانے کا سامان ہونا چاہیے جہاں وہ سینڈوچ سے لے کر پانینی سے لے کر سٹیکس اور جوس تک وسیع پیمانے پر مینو پیش کرتے ہیں یہ دیکھنے کے لیے کہ وہ اور کیا پیش کرتے ہیں! اور ہاں وہ افطاری کا تھال گھر پر تھا۔ <end>
7803,"<start> Very delicious food served in beautiful cool crockery, in nice congenial environment; with highly learned, disciplined and sober staff <end>",<start> بہت لذیذ کھانا خوبصورت ٹھنڈی کراکری میں پیش کیا جاتا ہے، اچھے سازگار ماحول میں؛ اعلیٰ تعلیم یافتہ، نظم و ضبط رکھنے والے اور محتاط عملے کے ساتھ <end>
7804,<start> The place to be for tender storm steak and BLC <end>,<start> ٹینڈر طوفان سٹیک اور BLC کے لئے جگہ <end>
7805,<start> You pick anything out of the menu <end>,<start> آپ مینو سے کچھ بھی چنتے ہیں۔ <end>
7806,<start> Excellent food cosy ambience great experience <end>,<start> بہترین کھانا آرام دہ ماحول عظیم تجربہ <end>
7807,<start> Good place for dine out in North Nazimabad <end>,<start> نارتھ ناظم آباد میں کھانے کے لیے بہترین جگہ <end>
7808,<start> Not a proper sitting place in lockdown and very slow serving <end>,<start> لاک ڈاؤن میں بیٹھنے کی مناسب جگہ نہیں ہے اور بہت سست سرونگ <end>
7809,<start> When I visited them they were out of gas so they could not serve me and my family <end>,<start> جب میں ان سے ملنے گیا تو ان کی گیس ختم تھی اس لیے وہ میری اور میرے خاندان کی خدمت نہیں کر سکتے تھے۔ <end>
7810,<start> Good steak! Although was a bit undercooked for my taste as I like it medium well and it was medium rare <end>,<start> اچھا سٹیک! اگرچہ میرے ذائقے کے لیے تھوڑا سا کم پکایا گیا تھا کیوں کہ مجھے یہ درمیانے درجے کی اچھی لگتی ہے اور یہ درمیانی نایاب تھی <end>
7811,<start> RoadHouse Kitchen has finally added their most crazy item in the menu!  tenderlion thin slices by the name of tenderstorm <end>,<start> روڈ ہاؤس کچن نے آخر کار مینو میں ان کی سب سے پاگل چیز شامل کر دی ہے! tenderlion پتلی سلائسیں ٹینڈرسٹارم کے نام سے <end>
7812,"<start> (Translated by Google) Really Loved their Stake and their service, There is a waiter ""Hanif BHai"" <end>","<start> (گوگل کے ذریعہ ترجمہ کیا گیا) واقعی میں ان کے اسٹیک اور ان کی خدمات سے محبت کرتا ہوں، ایک ویٹر ""حنیف بھائی"" ہے <end>"
7813,<start> Pathetic place with extremely poor service!! <end>,<start> انتہائی ناقص سروس کے ساتھ قابل رحم جگہ!! <end>
7814,<start> Very Bad Service!! Food came very late <end>,<start> بہت بری سروس!! کھانا بہت دیر سے آیا <end>
7815,<start> Excellent food and outclass staff <end>,<start> بہترین خوراک اور آؤٹ کلاس عملہ <end>
7816,"<start> Tenderstorm steak was really tender and juicy, the sauces were adequate <end>",<start> Tenderstorm سٹیک واقعی ٹینڈر اور رسیلی تھا، چٹنی کافی تھی <end>
7817,<start> Always had a great experience with their speciality TenderStorm <end>,<start> ہمیشہ ان کی خاصیت TenderStorm کے ساتھ بہت اچھا تجربہ رہا۔ <end>
7818,<start> RoadHouse Kitchen has finally added their most crazy item in the menu!  tenderlion thin slices by the name of tenderstorm <end>,<start> روڈ ہاؤس کچن نے آخر کار مینو میں ان کی سب سے پاگل چیز شامل کر دی ہے! tenderlion پتلی سلائسیں ٹینڈرسٹارم کے نام سے <end>
7819,<start> I can say i never taste that much perfectly cooked steak in my whole life <end>,<start> میں کہہ سکتا ہوں کہ میں نے اپنی پوری زندگی میں اتنا بالکل پکا ہوا سٹیک کبھی نہیں چکھا <end>
7820,"<start> Craving for steak, visited Roadhouse Kitchen for the first time and order their Beef Tenderstorm and chicken Shroom Sauce fillet <end>",<start> سٹیک کے لیے ترستے ہوئے، پہلی بار روڈ ہاؤس کچن کا دورہ کیا اور ان کے بیف ٹینڈرسٹارم اور چکن شوروم سوس فلیٹ کا آرڈر دیا۔ <end>
7821,<start> Although we went early but they ran out of BLC <end>,<start> اگرچہ ہم جلدی گئے لیکن وہ بی ایل سی سے باہر بھاگ گئے۔ <end>
7822,<start> One of the finest restaurant in Karachi <end>,<start> کراچی کے بہترین ریستوراں میں سے ایک <end>
7823,<start> Average taste of burgers and steak <end>,<start> برگر اور سٹیک کا اوسط ذائقہ <end>
7824,<start> Their outdoor space is not so cool for lunch atleast <end>,<start> ان کی بیرونی جگہ کم از کم دوپہر کے کھانے کے لیے اتنی ٹھنڈی نہیں ہے۔ <end>
7825,<start> The road house kitchen is superb taste <end>,<start> روڈ ہاؤس کچن شاندار ذائقہ ہے۔ <end>
7826,<start> visited RoadHouse today food was amazing but they should pay attention to their service  and as it was outside seated so people were smoking which irked us <end>,<start> آج روڈ ہاؤس کا دورہ کیا کھانا بہت اچھا تھا لیکن انہیں اپنی سروس پر توجہ دینی چاہیے اور چونکہ باہر بیٹھا ہوا تھا اس لیے لوگ سگریٹ نوشی کر رہے تھے جس سے ہم پریشان تھے۔ <end>
7827,"<start> Tasty food, especially pizza and staek <end>",<start> مزیدار کھانا، خاص طور پر پیزا اور سٹیک <end>
7828,<start> Awesome place delicious food and best service <end>,<start> لاجواب جگہ لذیذ کھانا اور بہترین سروس <end>
7829,<start> Very good ambiance with delicious food <end>,<start> مزیدار کھانے کے ساتھ بہت اچھا ماحول <end>
7830,"<start> Very good cafe, beef stuff was good, peach tea was amazing, pasta Alfredo was delicious <end>",<start> بہت اچھا کیفے، بیف کا سامان اچھا تھا، آڑو کی چائے لاجواب تھی، پاستا الفریڈو مزیدار تھا <end>
7831,<start> I ordered Mozzarella sticks in appetizer they were just plain coated in flour and was tasteless second comes steak which was raw and very chewy I ordered it to be a on medium rare temperature <end>,<start> میں نے ایپیٹائزر میں موزاریلا کی چھڑیوں کا آرڈر دیا وہ صرف سادہ آٹے میں لپٹی ہوئی تھیں اور بے ذائقہ تھیں دوسری آنے والی سٹیک جو کچی تھی اور بہت چبائی ہوئی تھی میں نے اسے درمیانے درجے کے نایاب درجہ حرارت پر رکھنے کا حکم دیا۔ <end>
7832,<start> Love the food but  a bit expensive ! <end>,<start> کھانا پسند ہے لیکن تھوڑا مہنگا! <end>
7833,<start> Great taste and big size  serving <end>,<start> عمدہ ذائقہ اور بڑے سائز کی خدمت <end>
7834,<start> One of the best steak House ever <end>,<start> اب تک کے بہترین اسٹیک ہاؤس میں سے ایک <end>
7835,"<start> Amazing food, great ambiance, bit pricy but good <end>",<start> حیرت انگیز کھانا، بہت اچھا ماحول، تھوڑا سا قیمتی لیکن اچھا <end>
7836,<start> Its a good place to dine in i love it <end>,<start> یہ کھانے کے لیے ایک اچھی جگہ ہے مجھے یہ پسند ہے۔ <end>
7837,<start> They changed their BLC recipe and size was also decreased <end>,<start> انہوں نے اپنا BLC نسخہ تبدیل کیا اور سائز بھی کم کر دیا گیا۔ <end>
7838,"<start> Next to dolmen mall Hydri, this restaurant is a hidden gem in the area serving southern cuisine <end>",<start> ڈولمین مال ہائیڈری کے آگے، یہ ریستوراں اس علاقے میں ایک پوشیدہ جواہر ہے جو جنوبی کھانے پیش کرتا ہے۔ <end>
7839,"<start> Amazing food, specially blc steak <end>",<start> حیرت انگیز کھانا، خاص طور پر بی ایل سی سٹیک <end>
7840,"<start> Happiness is when you get the best tenderstorm steak at my favourite place and sit to enjoy the beautiful evening, the outdoors and a very soothing ambiance with a cup of kawa Chai to wrap it all up! (Complementary) in these surprising chilly nights of khi <end>",<start> خوشی تب ہوتی ہے جب آپ کو میری پسندیدہ جگہ پر بہترین ٹینڈر سٹارم سٹیک ملے اور خوبصورت شام سے لطف اندوز ہونے کے لیے بیٹھیں، باہر کا ماحول اور ایک کپ کاوا چائی کے ساتھ یہ سب کچھ سمیٹنے کے لیے! کھی کی ان حیران کن سرد راتوں میں (تکمیلی) <end>
7841,"<start> Awsum taste, best service, high quality standard, following SOPs <end>",<start> Awsum ذائقہ، بہترین سروس، اعلی معیار کا معیار، SOPs پر عمل کریں۔ <end>
7842,<start> A breath of fresh air in an otherwise pretty average area as far as quality eateries are concerned <end>,<start> جہاں تک معیاری کھانے پینے والوں کا تعلق ہے تو ایک خوبصورت اوسط علاقے میں تازہ ہوا کا سانس لینا <end>
7843,<start> One of the best place to visit for steak!!! <end>,<start> سٹیک دیکھنے کے لیے بہترین جگہوں میں سے ایک!!! <end>
7844,"<start> Everything was upto Mark - steak meat very soft properly grilled served with cheesy mushroom garlic sauce , garlic clove , sautéed vegetable , potato skin <end>",<start> سب کچھ مارک تک تھا سٹیک گوشت بہت نرم اچھی طرح سے گرل کر چیزی مشروم لہسن کی چٹنی، لہسن کی لونگ، تلی ہوئی سبزی، آلو کی جلد کے ساتھ پیش کیا گیا <end>
7845,"<start> Tried BLC tatste was good but not spicy, ambiance was good, rate are bit high <end>",<start> BLC کی کوشش کی گئی ٹیٹس اچھی تھی لیکن مسالہ دار نہیں، ماحول اچھا تھا، ریٹ تھوڑا زیادہ ہے۔ <end>
7846,<start> Their most expensive steaks are worthless <end>,<start> ان کے مہنگے ترین سٹیک بیکار ہیں۔ <end>
7847,"<start> Pizza was good, but other items were a disappoint, especially the BLC <end>",<start> پیزا اچھا تھا، لیکن دیگر اشیاء مایوس کن تھیں، خاص طور پر BLC <end>
7848,<start> (Translated by Google) Bekar taste hy <end>,<start> (گوگل کی طرف سے ترجمہ) Bekar taste hy <end>
7849,<start> What matters is taste and they got it <end>,<start> جو چیز اہمیت رکھتی ہے وہ ذائقہ ہے اور انہیں مل گیا۔ <end>
7850,"<start> abit high in price but, food is extremely delicious specially beef panini and steak wins the game <end>",<start> قیمت میں قدرے زیادہ لیکن کھانا انتہائی لذیذ ہے خاص طور پر بیف پانینی اور سٹیک نے گیم جیت لی <end>
7851,<start> The place is located right next to Miniso Dolmen Mall North Nazimabad <end>,<start> یہ جگہ منیسو ڈولمین مال نارتھ ناظم آباد کے بالکل ساتھ واقع ہے۔ <end>
7852,"<start> Must try place,  From ambience to food everything was so perfect <end>",<start> جگہ ضرور آزمائیں، ماحول سے لے کر کھانے تک سب کچھ بہت پرفیکٹ تھا۔ <end>
7853,"<start> Extremely nice staff , and one of the best maintained menus u can get, taste and serving is very good <end>",<start> انتہائی عمدہ عملہ، اور ایک بہترین مینیو جو آپ کو مل سکتا ہے، ذائقہ اور سرونگ بہت اچھا ہے <end>
7854,<start> Nice and tidy place with variety of items  <end>,<start> مختلف اشیاء کے ساتھ اچھی اور صاف جگہ <end>
7855,"<start> The BLC was bit heavy, too oily and cheesey <end>",<start> BLC تھوڑا بھاری، بہت تیل اور پنیر تھا۔ <end>
7856,"<start> Good food, good service, just keep the rice as a sideline with steaks <end>",<start> اچھا کھانا، اچھی سروس، صرف چاولوں کو سٹیکس کے ساتھ ایک طرف رکھیں <end>
7857,<start> Use less service & poor quality food <end>,<start> کم سروس اور ناقص معیار کا کھانا استعمال کریں۔ <end>
7858,"<start> My worst ever experience, ambiance was good, server was over friendly as he saw three guys hanging around which is not professional as he asked us to keep our used forks (used for starters) in our hands while he bring main course <end>",<start> میرا اب تک کا بدترین تجربہ، ماحول اچھا تھا، سرور زیادہ دوستانہ تھا کیونکہ اس نے تین لڑکوں کو ادھر ادھر لٹکتے ہوئے دیکھا جو پیشہ ورانہ نہیں ہے کیونکہ اس نے ہم سے اپنے استعمال شدہ کانٹے (اسٹارٹرز کے لیے استعمال ہونے والے) اپنے ہاتھ میں رکھنے کو کہا جب وہ مین کورس لے کر آئے۔ <end>
7859,"<start> Awesome food, great ambiance and above all the staff was very friendly <end>",<start> شاندار کھانا، بہترین ماحول اور سب سے بڑھ کر عملہ بہت دوستانہ تھا۔ <end>
7860,<start> A very good place for small meetups! Loved the food and ambiance  Very casual and nice! <end>,<start> چھوٹی ملاقاتوں کے لیے ایک بہت اچھی جگہ! کھانا اور ماحول پسند آیا بہت آرام دہ اور اچھا! <end>
7861,"<start> Service was good, Staff was active, food prep time was high but they were being honest their oven was malfunctioning <end>",<start> سروس اچھی تھی، عملہ متحرک تھا، کھانے کی تیاری کا وقت زیادہ تھا لیکن وہ ایمانداری سے کام کر رہے تھے ان کا تندور خراب ہو رہا تھا <end>
7862,"<start> This place has some really good pizzas, and other things soon <end>",<start> اس جگہ کچھ واقعی اچھے پیزا اور جلد ہی دیگر چیزیں ہیں۔ <end>
7863,"<start> Loved their burgers!! Eureka beef burger, shredded beef burger and wings is a must try!! <end>",<start> ان کے برگر سے محبت کرتا تھا!! یوریکا بیف برگر، کٹے ہوئے بیف برگر اور ونگز ضرور آزمائیں!! <end>
7864,"<start> I tried their Al fredo pasta and fettuccine pasta, they were amazing <end>",<start> میں نے ان کا Al fredo پاستا اور fettuccine پاستا آزمایا، وہ حیرت انگیز تھے۔ <end>
7865,<start> Tasty burgers  should propose some discounted deals <end>,<start> سوادج برگر کو کچھ رعایتی سودے تجویز کرنے چاہئیں <end>
7866,<start> This BLC was worth an hour trip from my place to the restaurant <end>,<start> یہ BLC میری جگہ سے ریستوراں تک ایک گھنٹے کے سفر کے قابل تھا۔ <end>
7867,<start> Dilicious food! Loved the ambiance <end>,<start> مزیدار کھانا! ماحول پسند آیا <end>
7868,"<start> It was ok ,I didn't like their burgers <end>",<start> یہ ٹھیک تھا، مجھے ان کے برگر پسند نہیں تھے۔ <end>
7869,<start> delicious experience and an amazing ambiance <end>,<start> مزیدار تجربہ اور حیرت انگیز ماحول <end>
7870,<start> The food wasn't way too outstanding <end>,<start> کھانا بہت شاندار نہیں تھا۔ <end>
7871,<start> For new tastes and surprise food blends <end>,<start> نئے ذائقوں اور حیرت انگیز کھانے کے مرکبات کے لیے <end>
7872,<start> Ordered a Mr Cheesey Smokerson and a Firey Chicken Fries out of there Premium Menu <end>,<start> پریمیم مینو سے مسٹر چیزی سموکرسن اور فائری چکن فرائز کا آرڈر دیا <end>
7873,<start> Overly hyped place with no good flavours <end>,<start> کوئی اچھا ذائقہ کے ساتھ حد سے زیادہ hyped جگہ <end>
7874,<start> Best service and tea was fantastic <end>,<start> بہترین سروس اور چائے لاجواب تھی۔ <end>
7875,<start> The  food was good and we enjoyed dinning in <end>,<start> کھانا اچھا تھا اور ہم نے کھانے کا لطف اٹھایا <end>
7876,<start> Nice place with really nice menu <end>,<start> واقعی عمدہ مینو کے ساتھ اچھی جگہ <end>
7877,<start> To find such an eatery randomly was a pleasant surprise <end>,<start> تصادفی طور پر اس طرح کے کھانے کو تلاش کرنا ایک خوشگوار حیرت تھی۔ <end>
7878,<start> Best place for dinner near North Nazimabad <end>,<start> نارتھ ناظم آباد کے قریب رات کے کھانے کے لیے بہترین جگہ <end>
7879,<start> Good food good quality but quantity  <end>,<start> اچھا کھانا اچھی کوالٹی لیکن مقدار میں <end>
7880,<start> Very good food in a very reasonable price <end>,<start> انتہائی مناسب قیمت میں بہت اچھا کھانا <end>
7881,<start> Excellent eatery in Haidry vicinity <end>,<start> حیدری کے قرب و جوار میں بہترین کھانے کی جگہ <end>
7882,<start> No service quality unprofessional staff <end>,<start> کوئی خدمت کے معیار کا غیر پیشہ ور عملہ نہیں۔ <end>
7883,"<start> Having a great experience at road house, the ambiance is perfect , and the food is really good <end>",<start> روڈ ہاؤس میں بہت اچھا تجربہ ہے، ماحول کامل ہے، اور کھانا واقعی اچھا ہے۔ <end>
7884,"<start> Very delicious food ,cozy place n most of all welcoming staff  <end>",<start> بہت لذیذ کھانا، آرام دہ جگہ اور سب سے زیادہ استقبال کرنے والے عملے کے لیے <end>
7885,<start> (Translated by Google) Bone bone bone <end>,<start> (گوگل کے ذریعہ ترجمہ شدہ) ہڈی کی ہڈی کی ہڈی <end>
7886,<start> Food and ambiance were outstanding <end>,<start> کھانا اور ماحول شاندار تھا۔ <end>
7887,<start> My great great grand mother highly recommends this place! I personally know the owner and can recommend the high quality of food <end>,<start> میری عظیم عظیم دادی اس جگہ کی انتہائی سفارش کرتی ہیں! میں ذاتی طور پر مالک کو جانتا ہوں اور کھانے کے اعلیٰ معیار کی سفارش کر سکتا ہوں۔ <end>
7888,<start> Its a decent place for an overall family experience <end>,<start> یہ خاندان کے مجموعی تجربے کے لیے ایک اچھی جگہ ہے۔ <end>
7889,<start> Best pocket friendly restaurant with finger licking food <end>,<start> انگلی چاٹ کھانے کے ساتھ بہترین پاکٹ فرینڈلی ریستوراں <end>
7890,"<start> Excellent taste, perfect ambiance <end>",<start> بہترین ذائقہ، کامل ماحول <end>
7891,<start> Best food quality in reasonable price <end>,<start> مناسب قیمت میں کھانے کا بہترین معیار <end>
7892,<start> The quality of service is very good at Khyber Shinwari Restaurant <end>,<start> خیبر شنواری ریسٹورنٹ میں سروس کا معیار بہت اچھا ہے۔ <end>
7893,<start> Taste is very good but service is unsatisfied <end>,<start> ذائقہ بہت اچھا ہے لیکن سروس غیر مطمئن ہے۔ <end>
7894,<start> Mutton karahi is very special also lighting is even batter <end>,<start> مٹن کرہی بہت خاص ہے اور لائٹنگ بھی بیٹر ہے۔ <end>
7895,<start> Superb very testy food no need to goings highway <end>,<start> شاندار بہت ٹیسٹی کھانا ہائی وے پر جانے کی ضرورت نہیں ہے۔ <end>
7896,<start> (Translated by Google) Karahi and kabab <end>,<start> (گوگل کا ترجمہ) کراہی اور کباب <end>
7897,<start> All is good except the taste in food <end>,<start> کھانے میں ذائقہ کے علاوہ سب اچھا ہے۔ <end>
7898,<start> Beautiful surrounding area very neat and clean <end>,<start> آس پاس کا خوبصورت علاقہ بہت صاف ستھرا ہے۔ <end>
7899,<start> Wow very good test and really enjoyed <end>,<start> واہ بہت اچھا ٹیسٹ اور واقعی مزہ آیا <end>
7900,"<start> Taste is really good, and Kahwa is even more good after meal <end>",<start> ذائقہ واقعی اچھا ہے، اور قہوہ کھانے کے بعد اور بھی اچھا ہے۔ <end>
7901,<start> Mutton karahi was delicious and table service is good little bit expensive <end>,<start> مٹن کراہی مزیدار تھی اور دسترخوان کی خدمت تھوڑی مہنگی ہے۔ <end>
7902,<start> (Translated by Google) Behtreen taste <end>,<start> (گوگل کے ذریعہ ترجمہ کیا گیا) بہترین ذائقہ <end>
7903,<start> The food is awesome I suggest everyone to try it <end>,<start> کھانا بہت اچھا ہے میں ہر ایک کو اسے آزمانے کا مشورہ دیتا ہوں۔ <end>
7904,<start> (Translated by Google) Ala tareen Afghani booti and mutton karhai <end>,<start> (گوگل کے ذریعے ترجمہ کیا گیا) الا ترین افغانی بوٹی اور مٹن کرہائی <end>
7905,"<start> Delicious food, excellent atmosphere, recommended <end>",<start> مزیدار کھانا، بہترین ماحول، تجویز کردہ <end>
7906,<start> Tried Dumba Kharai Ran dasti only in 1400 rupees good taste don't order normal dumba karahai if you order ran dasti there is bonless pcs  <end>,<start> ڈمبا کھڑائی رن دستی آزمائیں صرف 1400 روپے میں اچھا ذائقہ نارمل ڈمبا کرہائی کا آرڈر نہ دیں اگر آپ رن دستی کا آرڈر دیں تو ہے bonless pcs <end>
7907,<start> Wonderful experience with family suitable atmosphere to spend precious time with family <end>,<start> خاندان کے ساتھ قیمتی وقت گزارنے کے لیے خاندانی مناسب ماحول کے ساتھ شاندار تجربہ <end>
7908,"<start> Quick service, beef Afghani boti is the best <end>",<start> فوری سروس، بیف افغانی بوٹی بہترین ہے۔ <end>
7909,<start> Khyber Shinwari is a little good place to dine in <end>,<start> خیبر شنواری کھانے کے لیے تھوڑی اچھی جگہ ہے۔ <end>
7910,<start> Good place to eat with family no need to go fare from home  also test of food is good <end>,<start> فیملی کے ساتھ کھانے کے لیے اچھی جگہ گھر سے کرایہ پر جانے کی ضرورت نہیں کھانے کا ٹیسٹ بھی اچھا ہے۔ <end>
7911,"<start> Everyone is talking about their food but no one concern about environment , don't you think this, and many other restaurants are encroachment on foot paths there was nursery before if we don't think our city become more worst we should discourage restaurants on wrong places <end>",<start> ہر کوئی اپنے کھانے کے بارے میں بات کر رہا ہے لیکن کسی کو ماحولیات کی فکر نہیں، کیا آپ کو یہ نہیں لگتا، اور بہت سے دوسرے ریسٹورنٹس فٹ پاتھوں پر تجاوزات کا شکار ہیں، اس سے پہلے نرسری ہوتی تھی اگر ہمیں یہ نہیں لگتا کہ ہمارا شہر مزید خراب ہو جائے تو ہمیں غلط پر ریسٹورنٹس کی حوصلہ شکنی کرنی چاہیے۔ مقامات <end>
7912,<start> Service men give good respect and delicious food with good quality <end>,<start> خدمت گزار لوگ اچھے معیار کے ساتھ اچھی عزت اور لذیذ کھانا دیتے ہیں۔ <end>
7913,<start> Amazing food and the service was awesome too !!! <end>,<start> حیرت انگیز کھانا اور سروس بھی لاجواب تھی !!! <end>
7914,<start> Good service with great taste of food specially karahi <end>,<start> کھانے کے بہترین ذائقے کے ساتھ اچھی سروس خاص کر کراہی <end>
7915,"<start> Delicious food, excellent service <end>",<start> مزیدار کھانا، بہترین سروس <end>
7916,<start> (Translated by Google) Great taste and service <end>,<start> (گوگل کے ذریعہ ترجمہ کردہ) عمدہ ذائقہ اور خدمت <end>
7917,<start> (Translated by Google) Bohat a ha raha <end>,<start> (گوگل کے ذریعہ ترجمہ کیا گیا) بوہت ایک ہارہ <end>
7918,<start> Little bit congested in weekdays but the food Quality is very good <end>,<start> ہفتے کے دنوں میں تھوڑا سا بھیڑ ہوتا ہے لیکن کھانے کا معیار بہت اچھا ہے۔ <end>
7919,<start> Good place for authentic afghani foods <end>,<start> مستند افغانی کھانوں کے لیے اچھی جگہ <end>
7920,<start> The test of mutton karahi was very Delicious <end>,<start> مٹن کرہی کا ٹیسٹ بہت لذیذ تھا۔ <end>
7921,<start> (Translated by Google) Afghani boti or mutton karahi taste ki <end>,<start> (گوگل کا ترجمہ) افغانی بوٹی یا مٹن کراہی ذائقہ کی <end>
7922,<start> Afghani boti and Namkeen Chanp/Putt is one the good thing to have there <end>,<start> افغانی بوٹی اور نمکین چنپ/پٹ وہاں ہونا ایک اچھی چیز ہے۔ <end>
7923,<start> Tast was good but too oily and gravy is too short <end>,<start> ذائقہ اچھا تھا لیکن بہت زیادہ تیل اور گریوی بہت مختصر ہے۔ <end>
7924,<start> (Translated by Google) Bhai merey dost ka agya zahar rakh diya or phir sorry kharay <end>,<start> (گوگل کے ذریعے ترجمہ کیا گیا) بھائی میرے دوست کا آگا ظہر رکھ دیا یا پھر سوری کھرے <end>
7925,<start> (Translated by Google) Bohat bohat mazay ki karhai hai yummy tareen aur kabuli pulao ka taste bhe acha hai <end>,<start> (گوگل کے ذریعے ترجمہ کیا گیا) بوہت بوہت مزے کی کرنا ہے مزیدار ترین اور کابلی پلاؤ کا ذائقہ بھی اچھا ہے <end>
7926,"<start> nice place, food is really awesome, everything was perfect, me and my family enjoyed our meal <end>",<start> اچھی جگہ، کھانا واقعی بہت اچھا ہے، سب کچھ بہترین تھا، میں اور میرے خاندان نے ہمارے کھانے کا لطف اٹھایا <end>
7927,<start> Nice place with hygienic food better environment <end>,<start> حفظان صحت سے متعلق کھانے کے بہتر ماحول کے ساتھ اچھی جگہ <end>
7928,<start> Chicken namkeem was so deleicious <end>,<start> چکن نمکیم بہت لذیذ تھا۔ <end>
7929,<start> (Translated by Google) Excellent service and quality food <end>,<start> (گوگل کے ذریعہ ترجمہ شدہ) بہترین سروس اور معیاری کھانا <end>
7930,"<start> Chicken karhai was not good, too much oily and nothing extraordinary in taste <end>",<start> چکن کرہائی اچھی نہیں تھی، بہت زیادہ تیل دار اور ذائقے میں کچھ بھی غیر معمولی نہیں تھا۔ <end>
7931,"<start> Best Restaurant in the vicinity, seems like a new food street has been formed near ship owners College <end>",<start> آس پاس کا بہترین ریستوراں، ایسا لگتا ہے جیسے جہاز کے مالکان کالج کے قریب ایک نئی فوڈ اسٹریٹ بنی ہے۔ <end>
7932,<start> Meals are tasty specially sekh booti <end>,<start> کھانے مزیدار ہوتے ہیں خاص طور پر سیکھ بوٹی <end>
7933,<start> Little pricey but there shinwari karahi is really good <end>,<start> تھوڑی مہنگی لیکن وہاں شنواری کراہی واقعی اچھی ہے۔ <end>
7934,"<start> It was so good,namkeen boti and shanvari karahi these are so tasty <end>",<start> یہ بہت اچھا تھا، نمکین بوٹی اور شنوری کراہی یہ بہت لذیذ ہیں۔ <end>
7935,"<start> Delicious, crowded and expensive food <end>",<start> لذیذ، ہجوم اور مہنگا کھانا <end>
