,English,Urdu
5053,"This lady was the Countess Amelia, whose picture my sister-in-law wished to remove from the drawing-room in Park Lane; and her husband was James, fifth Earl of Burlesdon and twenty-second Baron Rassendyll, both in the peerage of England, and a Knight of the Garter.",یہ خاتون کاؤنٹیس امیلیا تھی، جس کی تصویر میری بھابھی نے پارک لین کے ڈرائنگ روم سے ہٹانا چاہی۔ اور اس کا شوہر جیمز تھا، برلسڈن کا پانچواں ارل اور بائیسواں بیرن راسینڈیل، دونوں انگلینڈ کے پیریج میں، اور ایک نائٹ آف دی گارٹر۔
5054,"As for Rudolf, he went back to Ruritania, married a wife, and ascended the throne, whereon his progeny in the direct line have sat from then till this very hour—with one short interval. And, finally, if you walk through the picture galleries at Burlesdon, among the fifty portraits or so of the last century and a half, you will find five or six, including that of the sixth earl, distinguished by long, sharp, straight noses and a quantity of dark-red hair; these five or six have also blue eyes, whereas among the Rassendylls dark eyes are the commoner.",جہاں تک روڈولف کا تعلق ہے، وہ روریٹانیا واپس چلا گیا، ایک بیوی سے شادی کی، اور تخت پر بیٹھا، جہاں اس کی نسل براہ راست اس وقت سے لے کر اس گھنٹے تک بیٹھی ہے- ایک مختصر وقفے کے ساتھ۔ اور، آخر میں، اگر آپ برلسڈن کی تصویری گیلریوں میں سے گزرتے ہیں، پچھلی ڈیڑھ صدی کے پچاس پورٹریٹ میں سے، آپ کو پانچ یا چھ ملیں گے، جن میں چھٹے ارل کا بھی شامل ہے، جو لمبی، تیز، سیدھی ناک سے ممتاز ہے۔ اور گہرے سرخ بالوں کی ایک مقدار؛ ان پانچ یا چھ کی بھی نیلی آنکھیں ہوتی ہیں، جب کہ راسینڈیلز میں سیاہ آنکھیں عام ہیں۔
5055,"That is the explanation, and I am glad to have finished it: the blemishes on honourable lineage are a delicate subject, and certainly this heredity we hear so much about is the finest scandalmonger in the world; it laughs at discretion, and writes strange entries between the lines of the ""Peerages"".","یہ وضاحت ہے، اور مجھے اسے ختم کرنے پر خوشی ہے: معزز نسب پر داغ ایک نازک موضوع ہے، اور یقینی طور پر اس وراثت کے بارے میں جو ہم بہت سنتے ہیں وہ دنیا کا بہترین سکینڈلمنجر ہے۔ یہ صوابدید پر ہنستا ہے، اور ""Peerages"" کی لائنوں کے درمیان عجیب اندراجات لکھتا ہے۔"
5056,"It will be observed that my sister-in-law, with a want of logic that must have been peculiar to herself (since we are no longer allowed to lay it to the charge of her sex), treated my complexion almost as an offence for which I was responsible, hastening to assume from that external sign inward qualities of",یہ مشاہدہ کیا جائے گا کہ میری بھابھی نے، منطق کی خواہش کے ساتھ جو خود کے لیے مخصوص تھی (چونکہ ہمیں اب اسے اس کے جنسی تعلق کے الزام میں ڈالنے کی اجازت نہیں ہے)، نے میری رنگت کو تقریباً ایک جرم سمجھا۔ جس کا میں ذمہ دار تھا، اس ظاہری نشانی کی باطنی خصوصیات سے اندازہ لگانے میں جلدی کر رہا تھا۔
5057,which I protest my entire innocence; and this unjust inference she sought to buttress by pointing to the uselessness of the life I had led.,جس پر میں اپنی پوری بے گناہی پر احتجاج کرتا ہوں۔ اور اس غیر منصفانہ اندازے کو اس نے اپنی زندگی کی بیکار کی طرف اشارہ کرتے ہوئے دبانے کی کوشش کی۔
5058,"Well, be that as it may, I had picked up a good deal of pleasure and a good deal of knowledge.",ٹھیک ہے، جیسا کہ ہوسکتا ہے، میں نے خوشی کا ایک اچھا سودا اور علم کا ایک اچھا سودا اٹھایا تھا.
5059,"I had been to a German school and a German university, and spoke German as readily and perfectly as English; I was thoroughly at home in French; I had a smattering of Italian and enough Spanish to swear by.",میں ایک جرمن اسکول اور ایک جرمن یونیورسٹی گیا تھا، اور میں انگریزی کی طرح آسانی سے اور بالکل ٹھیک جرمن بولتا تھا۔ میں گھر پر اچھی طرح فرانسیسی زبان میں تھا۔ میرے پاس اطالوی اور کافی ہسپانوی زبان تھی کہ میں قسم کھا سکتا ہوں۔
5060,"I was, I believe, a strong, though hardly fine swordsman and a good shot.",مجھے یقین ہے کہ میں ایک مضبوط، اگرچہ مشکل سے ٹھیک تلوار باز اور ایک اچھا شاٹ تھا۔
5061,"I could ride anything that had a back to sit on; and my head was as cool a one as you could find, for all its flaming cover.",میں کسی بھی ایسی چیز پر سوار ہو سکتا تھا جس پر بیٹھنے کے لیے کمر ہوتی تھی۔ اور میرا سر اتنا ہی ٹھنڈا تھا جتنا آپ کو مل سکتا تھا، اس کے تمام شعلے ڈھانپنے کے لیے۔
5062,"If you say that I ought to have spent my time in useful labour, I am out of Court and have nothing to say, save that my parents had no business to leave me two thousand pounds a year and a roving disposition.",اگر آپ کہتے ہیں کہ مجھے اپنا وقت مفید مشقت میں گزارنا چاہیے تھا، تو میں عدالت سے باہر ہوں اور میرے پاس کہنے کو کچھ نہیں ہے، سوائے اس کے کہ میرے والدین کے پاس کوئی کام نہیں تھا کہ وہ مجھے سالانہ دو ہزار پاؤنڈ چھوڑ دیں اور ایک گھومنے پھرنے والا مزاج۔
5063,"""The difference between you and Robert,"" said my sister-in-law, who often (bless her!) speaks on a platform, and oftener still as if she were on one, ""is that he recognizes the duties of his position, and you see the opportunities of yours.""","تم میں اور رابرٹ میں فرق، میری بھابھی نے کہا، جو اکثر پلیٹ فارم پر بولتی ہیں، اور اکثر اب بھی گویا وہ ایک پر ہیں، ""یہ ہے کہ وہ اپنے عہدے کے فرائض کو پہچانتا ہے، اور آپ اپنے مواقع دیکھتے ہیں۔"""
5064,"""To a man of spirit, my dear Rose,"" I answered, ""opportunities are duties.""","ایک روح کے آدمی کے لئے، میرے پیارے گلاب، میں نے جواب دیا، ""موقع فرائض ہیں."""
5065,"""Nonsense!"" said she, tossing her head; and after a moment she went on: ""Now, here's Sir Jacob Borrodaile offering you exactly what you might be equal to.""","بکواس! اس نے سر ہلاتے ہوئے کہا۔ اور ایک لمحے کے بعد وہ آگے بڑھی: ""اب، یہاں سر جیکب بوروڈائل آپ کو بالکل وہی پیش کر رہے ہیں جس کے آپ برابر ہوسکتے ہیں۔"""
5066,"""A thousand thanks!"" I murmured.",ایک ہزار شکریہ! میں بڑبڑایا۔
5067,"""He's to have an Embassy in six months, and Robert says he is sure that he'll take you as an attache. Do take it, Rudolf—to please me.""",اس کے پاس چھ ماہ میں ایک سفارت خانہ بننا ہے، اور رابرٹ کا کہنا ہے کہ اسے یقین ہے کہ وہ آپ کو اتاشی کے طور پر لے جائے گا۔ اسے لے لو، روڈولف — مجھے خوش کرنے کے لیے۔
5068,"Now, when my sister-in-law puts the matter in that way, wrinkling her pretty brows, twisting her little hands, and growing wistful in the eyes, all on account of an idle scamp like myself, for whom she has no natural responsibility, I am visited with compunction.","اب جب میری بھابھی اس معاملے کو اس طرح ڈالتی ہے، اپنی خوبصورت بھنوؤں کو مروڑتی ہے، اپنے ننھے ننھے ہاتھ مروڑتی ہے، اور آنکھوں میں اشک بار ہوتی ہے، یہ سب میرے جیسے ایک بیکار دھوکے کی وجہ سے ہوتا ہے، جس کے لیے اس کی کوئی فطری ذمہ داری نہیں ہوتی۔ , I am compunction کے ساتھ دورہ کیا."
5069,"Moreover, I thought it possible that I could pass the time in the position suggested with some tolerable amusement. Therefore I said:",مزید یہ کہ میں نے سوچا کہ یہ ممکن ہے کہ میں تجویز کردہ پوزیشن میں کچھ قابل برداشت تفریح ​​کے ساتھ وقت گزار سکوں۔ اس لیے میں نے کہا:
5070,"""My dear sister, if in six months' time no unforeseen obstacle has arisen, and Sir Jacob invites me, hang me if I don't go with Sir Jacob!""",میری پیاری بہن، اگر چھ مہینوں میں کوئی غیر متوقع رکاوٹ پیدا نہ ہوئی ہو، اور سر جیکب مجھے مدعو کریں، اگر میں سر جیکب کے ساتھ نہ جاؤں تو مجھے پھانسی دے دو!
5071,"""Oh, Rudolf, how good of you! I am glad!""",اوہ، روڈولف، تم کتنے اچھے! میں خوش ہوں!
5072,"""Where's he going to?""",وہ کہاں جا رہا ہے؟
5073,"""He doesn't know yet; but it's sure to be a good Embassy.""",وہ ابھی تک نہیں جانتا؛ لیکن یہ یقینی ہے کہ ایک اچھا سفارت خانہ ہوگا۔
5074,"""Madame,"" said I, ""for your sake I'll go, if it's no more than a beggarly Legation.","میڈم، میں نے کہا، ""آپ کی خاطر میں جاؤں گا، اگر یہ ایک بھکاری لیگ سے زیادہ نہیں ہے۔"
5075,"When I do a thing, I don't do it by halves.""","جب میں کوئی کام کرتا ہوں تو اسے آدھے حصے سے نہیں کرتا۔"""
5076,"My promise, then, was given; but six months are six months, and seem an eternity, and, inasmuch as they stretched between me and my prospective industry (I suppose attaches are industrious; but I know not, for I never",میرا وعدہ، پھر، دیا گیا تھا؛ لیکن چھ مہینے چھ مہینے ہیں، اور ایک ابدیت معلوم ہوتا ہے، اور، جیسا کہ وہ میرے اور میری متوقع صنعت کے درمیان پھیلا ہوا ہے (میرا خیال ہے کہ منسلکات محنتی ہیں؛ لیکن میں نہیں جانتا، کیونکہ میں کبھی نہیں
5077,"became attache to Sir Jacob or anybody else), I cast about for some desirable mode of spending them.",سر جیکب یا کسی اور کے ساتھ اتاشی بن گیا)، میں نے انہیں خرچ کرنے کے کچھ مطلوبہ انداز کے بارے میں سوچا۔
5078,And it occurred to me suddenly that I would visit Ruritania.,اور مجھے اچانک یہ خیال آیا کہ میں روریٹانیا کا دورہ کروں گا۔
5079,"It may seem strange that I had never visited that country yet; but my father (in spite of a sneaking fondness for the Elphbergs, which led him to give me, his second son, the famous Elphberg name of Rudolf) had always been averse from my going, and, since his death, my brother, prompted by Rose, had accepted the family tradition which taught that a wide berth was to be given to that country.",یہ عجیب لگ سکتا ہے کہ میں نے ابھی تک اس ملک کا دورہ نہیں کیا تھا۔ لیکن میرے والد (ایلفبرگ کے لیے چپکے چپکے شوق کے باوجود، جس کی وجہ سے انھوں نے مجھے اپنا دوسرا بیٹا، روڈولف کا مشہور ایلفبرگ نام دیا) ہمیشہ میرے جانے سے گریزاں رہے، اور، ان کی موت کے بعد سے، میرے بھائی نے اشارہ کیا۔ روز کے ذریعے، خاندانی روایت کو قبول کر لیا تھا جس میں یہ سکھایا گیا تھا کہ اس ملک کو ایک وسیع برتھ دی جانی تھی۔
5080,But the moment Ruritania had come into my head I was eaten up with a curiosity to see it.,لیکن جس لمحے روریٹانیا میرے دماغ میں آیا تھا میں اسے دیکھنے کے لیے تجسس سے بھر گیا تھا۔
5081,"After all, red hair and long noses are not confined to the House of Elphberg, and the old story seemed a preposterously insufficient reason for debarring myself from acquaintance with a highly interesting and important kingdom, one which had played no small part in European history, and might do the like again under the sway of a young and vigorous ruler, such as the new King was rumoured to be.",بہر حال، سرخ بال اور لمبی ناک صرف ایوانِ ایلفبرگ تک ہی محدود نہیں ہیں، اور پرانی کہانی ایک انتہائی دلچسپ اور اہم بادشاہت سے واقفیت سے اپنے آپ کو روکنے کی ایک بے جا وجہ معلوم ہوتی ہے، جس نے یورپی تاریخ میں کوئی معمولی کردار ادا نہیں کیا تھا۔ اور ایک نوجوان اور طاقتور حکمران کے زیر اثر دوبارہ ایسا ہی کر سکتا ہے، جیسا کہ نیا بادشاہ ہونے کی افواہ تھی۔
5082,"My determination was clinched by reading in The Times that Rudolf the Fifth was to be crowned at Strelsau in the course of the next three weeks, and that great magnificence was to mark the occasion.",ٹائمز میں یہ پڑھ کر میرا عزم پختہ ہو گیا تھا کہ اگلے تین ہفتوں کے دوران اسٹریلساؤ میں روڈولف پانچویں کی تاج پوشی کی جانی تھی، اور اس عظیم شان کو اس موقع پر نشان زد کرنا تھا۔
5083,"At once I made up my mind to be present, and began my preparations.",میں نے فوراً حاضر ہونے کا ارادہ کر لیا، اور اپنی تیاری شروع کر دی۔
5084,"But, inasmuch as it has never been my practice to furnish my relatives with an itinerary of my journeys and in this case I anticipated opposition to my wishes, I gave out that I was going for a ramble in the Tyrol—an old haunt of mine—and propitiated Rose's wrath by declaring that I intended to study the political and social problems of the interesting community which dwells in that neighbourhood.",لیکن، چونکہ یہ کبھی میرا معمول نہیں رہا کہ میں اپنے رشتہ داروں کو اپنے سفر کا سفر نامہ پیش کروں اور اس معاملے میں میں نے اپنی خواہشات کے خلاف توقع ظاہر کی، میں نے یہ کہہ دیا کہ میں ٹائرول میں گھومنے پھرنے جا رہا ہوں، جو میرا ایک پرانا ٹھکانہ ہے۔ اور یہ اعلان کر کے روز کے غصے کو کم کیا کہ میں اس محلے میں رہنے والی دلچسپ کمیونٹی کے سیاسی اور سماجی مسائل کا مطالعہ کرنا چاہتا ہوں۔
5085,"""Perhaps,"" I hinted darkly, ""there may be an outcome of the expedition.","شاید، میں نے اندھیرے سے اشارہ کیا، ""اس مہم کا کوئی نتیجہ نکل سکتا ہے۔"
5086,""" ""What do you mean?"" she asked.",کیا مطلب؟ اس نے پوچھا۔
5087,"""Well,"" said I carelessly, ""there seems a gap that might be filled by an exhaustive work on—""","ٹھیک ہے، میں نے لاپرواہی سے کہا، ""کوئی خلا لگتا ہے جو ایک مکمل کام سے پُر ہو سکتا ہے۔"""
5088,"""Oh! will you write a book?"" she cried, clapping her hands. ""That would be splendid, wouldn't it, Robert?""","اوہ! کتاب لکھو گے؟ وہ تالیاں بجاتے ہوئے رو پڑی۔ ""یہ شاندار ہو گا، نہیں، رابرٹ؟"""
5089,"""It's the best of introductions to political life nowadays,"" observed my brother, who has, by the way, introduced himself in this manner several times over.",یہ آج کل کی سیاسی زندگی کا بہترین تعارف ہے، میرے بھائی نے مشاہدہ کیا، جس نے، ویسے، کئی بار اس انداز میں اپنا تعارف کرایا ہے۔
5090,"Burlesdon on Ancient Theories and Modern Facts and The Ultimate Outcome, by a Political Student, are both works of recognized eminence.",برلسڈن آن اینشینٹ تھیوریز اینڈ ماڈرن فیکٹس اور دی الٹیمیٹ آؤٹکوم، ایک پولیٹیکل اسٹوڈنٹ کے ذریعہ، دونوں ہی معروف کام ہیں۔
5091,"""I believe you are right, Bob, my boy,"" said I.",مجھے یقین ہے کہ تم صحیح ہو، باب، میرے لڑکے، میں نے کہا۔
5092,"""Now promise you'll do it,"" said Rose earnestly.",اب وعدہ کرو تم یہ کرو گے روز نے سنجیدگی سے کہا۔
5093,"""No, I won't promise; but if I find enough material, I will.""",نہیں، میں وعدہ نہیں کروں گا؛ لیکن اگر مجھے کافی مواد مل گیا تو میں کروں گا۔
5094,"""That's fair enough,"" said Robert.",یہ کافی مناسب ہے، رابرٹ نے کہا۔
5095,"""Oh, material doesn't matter!"" she said, pouting.",اوہ، مواد سے کوئی فرق نہیں پڑتا! اس نے ہچکیاں لیتے ہوئے کہا۔
5096,But this time she could get no more than a qualified promise out of me. To tell,لیکن اس بار وہ مجھ سے ایک قابل وعدے سے زیادہ کچھ حاصل نہیں کر سکی۔ بتانے کے لئے
5097,"the truth, I would have wagered a handsome sum that the story of my expedition that summer would stain no paper and spoil not a single pen. And that shows how little we know what the future holds; for here I am, fulfilling my qualified promise, and writing, as I never thought to write, a book— though it will hardly serve as an introduction to political life, and has not a jot to do with the Tyrol.",سچ تو یہ ہے کہ میں نے ایک اچھی رقم لگائی ہوگی کہ میری اس مہم کی کہانی کہ موسم گرما میں کسی کاغذ پر داغ نہیں لگے گا اور ایک قلم بھی خراب نہیں ہوگا۔ اور یہ ظاہر کرتا ہے کہ ہم کتنا کم جانتے ہیں کہ مستقبل کیا ہے۔ کیونکہ میں یہاں ہوں، اپنے قابل وعدہ کو پورا کر رہا ہوں، اور لکھ رہا ہوں، جیسا کہ میں نے کبھی لکھنے کا سوچا بھی نہیں تھا، اگرچہ یہ سیاسی زندگی کا شاید ہی تعارف ہو، اور اس کا ٹائرول سے کوئی تعلق نہیں ہے۔
5098,"Neither would it, I fear, please Lady Burlesdon, if I were to submit it to her critical eye—a step which I have no intention of taking.",نہ ہی، مجھے ڈر ہے، براہ کرم لیڈی برلسڈن، اگر میں اسے اس کی تنقیدی نظروں کے سامنے پیش کر دوں — ایک ایسا قدم جسے اٹھانے کا میرا کوئی ارادہ نہیں ہے۔
5099,It was a maxim of my Uncle William's that no man should pass through Paris without spending four-and-twenty hours there.,میرے چچا ولیم کا یہ فرمان تھا کہ کوئی آدمی پیرس میں سے چار بیس گھنٹے گزارے بغیر نہ گزرے۔
5100,"My uncle spoke out of a ripe experience of the world, and I honoured his advice by putting up for a day and a night at ""The Continental"" on my way to—the Tyrol.","میرے چچا نے دنیا کے ایک پکے تجربے کے بارے میں بات کی، اور میں نے ٹائرول جاتے ہوئے ""دی کانٹینینٹل"" میں ایک دن اور ایک رات لگا کر ان کے مشورے کا احترام کیا۔"
5101,"I called on George Featherly at the Embassy, and we had a bit of dinner together at Durand's, and afterwards dropped in to the Opera; and after that we had a little supper, and after that we called on Bertram Bertrand, a versifier of some repute and Paris correspondent to The Critic.",میں نے سفارت خانے میں جارج فیدرلی سے ملاقات کی، اور ہم نے ڈیورنڈز میں ایک ساتھ کھانا کھایا، اور اس کے بعد اوپرا میں چلے گئے۔ اور اس کے بعد ہم نے تھوڑا سا رات کا کھانا کھایا، اور اس کے بعد ہم نے برٹرم برٹرینڈ سے ملاقات کی، جو کچھ مشہور اور نقاد کے پیرس کے نامہ نگار تھے۔
5102,"He had a very comfortable suite of rooms, and we found some pleasant fellows smoking and talking. It struck me, however, that Bertram himself was absent and in low spirits, and when everybody except ourselves had gone, I rallied him on his moping preoccupation. He fenced with me for a while, but at last, flinging himself on a sofa, he exclaimed:",اس کے پاس کمروں کا ایک بہت ہی آرام دہ سوٹ تھا، اور ہم نے کچھ خوشگوار ساتھیوں کو سگریٹ نوشی کرتے اور بات کرتے ہوئے پایا۔ تاہم، اس نے مجھے متاثر کیا کہ برٹرم خود غیر حاضر اور کم حوصلے میں تھا، اور جب ہمارے علاوہ ہر کوئی چلا گیا تھا، میں نے اسے اس کی موپنگ کی مصروفیت پر اکٹھا کیا۔ اس نے کچھ دیر میرے ساتھ باڑ لگائی، لیکن آخر کار صوفے پر جھکتے ہوئے اس نے کہا:
5103,"""Very well; have it your own way. I am in love—infernally in love!"" ""Oh, you'll write the better poetry,"" said I, by way of consolation.",بہت اچھا؛ اسے اپنا طریقہ اختیار کرو۔ میں محبت میں ہوں - جہتی محبت میں! ’’اوہ، تم بہتر شاعری لکھو گے۔‘‘ میں نے تسلی دیتے ہوئے کہا۔
5104,"He ruffled his hair with his hand and smoked furiously. George Featherly, standing with his back to the mantelpiece, smiled unkindly.",اس نے اپنے بالوں کو ہاتھ سے پھیر لیا اور غصے سے سگریٹ نوشی کی۔ جارج فیدرلی، مینٹل پیس کے ساتھ اپنی پیٹھ کے ساتھ کھڑا، بے رحمی سے مسکرایا۔
5105,"""If it's the old affair,"" said he, ""you may as well throw it up, Bert. She's leaving Paris tomorrow.""","اگر یہ پرانا معاملہ ہے، اس نے کہا، ""آپ اسے بھی پھینک سکتے ہیں، برٹ۔ وہ کل پیرس چھوڑ رہی ہے۔"""
5106,"""I know that,"" snapped Bertram.",میں جانتا ہوں، برٹرم نے کہا۔
5107,"""Not that it would make any difference if she stayed,"" pursued the relentless George. ""She flies higher than the paper trade, my boy!""","ایسا نہیں کہ اگر وہ ٹھہرے تو اس سے کوئی فرق پڑے گا، بے تکلف جارج کا تعاقب کیا۔ ""وہ کاغذ کی تجارت سے اونچی پرواز کرتی ہے، میرے لڑکے!"""
5108,"""Hang her!"" said Bertram.",اسے پھانسی دو! برٹرم نے کہا.
5109,"""It would make it more interesting for me,"" I ventured to observe, ""if I knew who you were talking about.""","یہ میرے لیے مزید دلچسپ ہو جائے گا، میں نے مشاہدہ کرنے کا حوصلہ کیا، ""اگر میں جانتا ہوں کہ آپ کس کے بارے میں بات کر رہے ہیں۔"""
5110,"""Antoinette Mauban,"" said George.",Antoinette Mauban، جارج نے کہا۔
5111,"""De Mauban,"" growled Bertram.",ڈی موبان، برٹرم نے کہا۔
5112,"""Oho!"" said I, passing by the question of the `de'. ""You don't mean to say, Bert —?""","اوہو! میں نے 'دی' کے سوال سے گزرتے ہوئے کہا۔ ""آپ کا یہ کہنا نہیں ہے، برٹ -؟"""
5113,"""Can't you let me alone?""",کیا تم مجھے اکیلا نہیں چھوڑ سکتے؟
5114,"""Where's she going to?"" I asked, for the lady was something of a celebrity.",وہ کہاں جا رہی ہے؟ میں نے پوچھا، خاتون کے لیے مشہور شخصیت کی چیز تھی۔
5115,"George jingled his money, smiled cruelly at poor Bertram, and answered pleasantly:",جارج نے اپنے پیسوں کو جھنجھوڑ دیا، غریب برٹرم کو دیکھ کر بے دردی سے مسکرایا، اور خوشگوار جواب دیا:
5116,"""Nobody knows. By the way, Bert, I met a great man at her house the other night—at least, about a month ago. Did you ever meet him—the Duke of Strelsau?""",کوئی نہیں جانتا۔ ویسے، برٹ، میں دوسری رات اس کے گھر پر ایک عظیم آدمی سے ملا تھا- کم از کم، تقریباً ایک مہینہ پہلے۔ کیا تم نے کبھی اس سے ملاقات کی تھی- ڈیوک آف اسٹریلساؤ؟
5117,"""Yes, I did,"" growled Bertram.",ہاں، میں نے کیا، برٹرم نے کہا۔
5118,"""An extremely accomplished man, I thought him.""",ایک انتہائی قابل آدمی، میں نے اسے سوچا۔
5119,"It was not hard to see that George's references to the duke were intended to aggravate poor Bertram's sufferings, so that I drew the inference that the duke had distinguished Madame de Mauban by his attentions.",یہ دیکھنا مشکل نہیں تھا کہ ڈیوک کے بارے میں جارج کے حوالہ جات کا مقصد غریب برٹرم کے مصائب کو بڑھانا تھا، تاکہ میں نے یہ اندازہ لگایا کہ ڈیوک نے میڈم ڈی موبان کو اپنی توجہ سے ممتاز کیا تھا۔
5120,"She was a widow, rich, handsome, and, according to repute, ambitious.",وہ ایک بیوہ، امیر، خوبصورت، اور شہرت کے مطابق، پرجوش تھی۔
5121,"It was quite possible that she, as George put it, was flying as high as a personage who was everything he could be, short of enjoying strictly royal rank: for the duke was the son of the late King of Ruritania by a second and morganatic marriage, and half-brother to the new King.",یہ بالکل ممکن تھا کہ وہ، جیسا کہ جارج نے کہا، ایک ایسی شخصیت کے طور پر اونچی پرواز کر رہی تھی جو وہ سب کچھ تھا جو وہ ہو سکتا تھا، سختی سے شاہی عہدے سے لطف اندوز ہونے سے کم تھا: کیونکہ ڈیوک ایک دوسرے اور مورگنیٹک کے بعد روریٹانیہ کے مرحوم بادشاہ کا بیٹا تھا۔ شادی، اور نئے بادشاہ کے سوتیلے بھائی۔
5122,"He had been his father's favourite, and it had occasioned some unfavourable comment when he had been created a duke, with a title derived from no less a city than the capital itself.",وہ اپنے والد کا پسندیدہ تھا، اور اس نے کچھ ناگوار تبصرے کا موقع دیا تھا جب اسے ڈیوک بنایا گیا تھا، جس کا عنوان خود دارالحکومت سے کم کسی شہر سے اخذ کیا گیا تھا۔
5123,"His mother had been of good, but not exalted, birth.",اُس کی ماں اچھی تھی، لیکن اُس کی پیدائش نہیں تھی۔
5124,"""He's not in Paris now, is he?"" I asked.",وہ اب پیرس میں نہیں ہے، کیا وہ؟ میں نے پوچھا.
5125,"""Oh no! He's gone back to be present at the King's coronation; a ceremony which, I should say, he'll not enjoy much.",ارے نہیں! وہ بادشاہ کی تاجپوشی میں شرکت کے لیے واپس چلا گیا ہے؛ ایک ایسی تقریب جس میں، مجھے کہنا چاہیے، وہ زیادہ لطف اندوز نہیں ہوں گے۔
5126,"But, Bert, old man, don't despair! He won't marry the fair Antoinette—at least, not unless another plan comes to nothing. Still perhaps she—"" He paused and added, with a laugh: ""Royal attentions are hard to resist—you know that, don't you, Rudolf?""","
لیکن، برٹ، بوڑھے آدمی، مایوس نہ ہوں! وہ منصفانہ اینٹونیٹ سے شادی نہیں کرے گا - کم از کم، اس وقت تک نہیں جب تک کہ کوئی اور منصوبہ ناکام نہ ہو۔ پھر بھی شاید وہ- اس نے توقف کیا اور ہنسی کے ساتھ مزید کہا: ""شاہی توجہ کا مقابلہ کرنا مشکل ہے - تم جانتے ہو، کیا تم نہیں، روڈولف؟"""
5127,"""Confound you!"" said I; and rising, I left the hapless Bertram in George's hands and went home to bed.",تمہیں الجھاؤ! میں نے کہا؛ اور اٹھتے ہوئے، میں نے بے بس برٹرم کو جارج کے ہاتھ میں چھوڑ دیا اور گھر سونے چلا گیا۔
5128,"The next day George Featherly went with me to the station, where I took a ticket for Dresden.",اگلے دن جارج فیدرلی میرے ساتھ اسٹیشن گیا، جہاں میں نے ڈریسڈن کا ٹکٹ لیا۔
5129,"""Going to see the pictures?"" asked George, with a grin.",تصاویر دیکھنے جا رہے ہو؟ جارج نے مسکراتے ہوئے پوچھا۔
5130,"George is an inveterate gossip, and had I told him that I was off to Ruritania, the news would have been in London in three days and in Park Lane in a week.",جارج ایک متضاد گپ شپ ہے، اور اگر میں نے اسے بتایا کہ میں روریٹانیا جا رہا ہوں، تو یہ خبر تین دن میں لندن میں اور پارک لین میں ایک ہفتے میں پہنچ جاتی۔
5131,"I was, therefore, about to return an evasive answer, when he saved my conscience by leaving me suddenly and darting across the platform. ",اس لیے، میں ایک ٹال مٹول جواب دینے ہی والا تھا، جب اس نے مجھے اچانک چھوڑ کر اور پلیٹ فارم کے اس پار بھاگ کر میرے ضمیر کو بچایا۔
5132,"Following him with my eyes, I saw him lift his hat and accost a graceful, fashionably dressed woman who had just appeared from the booking-office.",اپنی آنکھوں سے اس کا پیچھا کرتے ہوئے، میں نے اسے اپنی ٹوپی اٹھاتے ہوئے دیکھا اور ایک خوبصورت، فیشن کے لباس میں ملبوس عورت کو دیکھا جو ابھی بکنگ آفس سے آئی تھی۔
5133,"She was, perhaps, a year or two over thirty, tall, dark, and of rather full figure.",وہ، شاید، ایک یا دو سال سے زیادہ تیس، لمبا، سیاہ، اور بلکہ پوری شخصیت کی تھی۔
5134,"As George talked, I saw her glance at me, and my vanity was hurt by the thought that, muffled in a fur coat and a neck-wrapper (for it was a chilly April day) and wearing a soft travelling hat pulled down to my ears, I must be looking very far from my best. A moment later, George rejoined me.",جیسے ہی جارج بات کر رہا تھا، میں نے اس کی نظر مجھ پر دیکھی، اور یہ سوچ کر میری باطل کو دکھ پہنچا کہ، فر کوٹ اور گلے میں لپٹی ہوئی (کیونکہ یہ اپریل کا ایک ٹھنڈا دن تھا) اور ایک نرم سفری ٹوپی پہن کر اپنی طرف کھینچا تھا۔ کان، میں اپنے بہترین سے بہت دور دیکھ رہا ہوں. ایک لمحے بعد، جارج میرے ساتھ دوبارہ شامل ہوا۔
5135,"""You've got a charming travelling companion,"" he said. ""That's poor Bert Bertrand's goddess, Antoinette de Mauban, and, like you, she's going to Dresden—also, no doubt, to see the pictures.","آپ کو ایک دلکش سفری ساتھی ملا ہے، اس نے کہا۔ ""یہ غریب برٹ برٹرینڈ کی دیوی، اینٹونیٹ ڈی موبان ہے، اور، آپ کی طرح، وہ بھی ڈریسڈن جا رہی ہے، اس میں کوئی شک نہیں، تصاویر دیکھنے کے لیے۔"
5136,"It's very queer, though, that she doesn't at present desire the honour of your acquaintance.""","یہ بہت عجیب بات ہے کہ وہ فی الحال آپ کے جاننے والے کی عزت کی خواہش نہیں رکھتی۔"""
5137,"""I didn't ask to be introduced,"" I observed, a little annoyed.",میں نے تعارف کروانے کے لیے نہیں کہا، میں نے تھوڑا سا ناراض ہو کر دیکھا۔
5138,"""Well, I offered to bring you to her; but she said, 'Another time.'","ٹھیک ہے، میں نے آپ کو اس کے پاس لانے کی پیشکش کی تھی؛ لیکن اس نے کہا، 'ایک بار پھر۔'
"
5139,"Never mind, old fellow, perhaps there'll be a smash, and you'll have a chance of rescuing her and cutting out the Duke of Strelsau!""","کوئی بات نہیں، بوڑھے ساتھی، شاید ایک تباہی ہو گی، اور آپ کو اسے بچانے اور اسٹریلساؤ کے ڈیوک کو کاٹنے کا موقع ملے گا!"""
